,accommodation_id,accommodation_name,airbnb_account_id,accommodation_link,channel_name,local_status,publishment_status,alert,sync_alert,rejection_alert,warning_alert,review_count,review_value,cleanliness_value,location_value,truthfulness_value,checkin_value,communication_value
167,517862,SP-SJ504 (ZonaX),659754543,airbnb.com.br/rooms/1344973771908623839,airbnb,True,active,0,,False,,2,5,5,5,5,5,5
168,517945,BC405 (Zona2),592964680,airbnb.com.br/rooms/1359455171055486714,airbnb,True,active,0,,False,,7,4.9,5,5,5,4.6,5
169,520513,SB301 (Zona1),592964680,airbnb.com.br/rooms/1370941421556263620,airbnb,True,active,2,,False,,1,3,5,5,5,4,2
170,522041,VLP412 (Zona4),592964680,airbnb.com.br/rooms/1355794743804270277,airbnb,True,active,0,,False,,2,4,5,5,4,5,3.5
171,522042,J302 (Zona1),592964680,airbnb.com.br/rooms/1379637195486850159,airbnb,True,active,0,,False,,4,4.5,4.8,4.8,5,5,4.5
172,524690,SP-A713 (ZonaX),659754543,airbnb.com.br/rooms/1380407581410540438,airbnb,True,active,0,,False,,5,4.8,4.8,4.8,4.8,4.6,4.6
173,524778,IM712 (Zona3),592964680,airbnb.com.br/rooms/1366802007559870062,airbnb,True,active,0,,False,,4,5,5,4.5,4.8,4.5,4.3
174,524811,IG - Solar do Campo (ZonaX),659754543,airbnb.com.br/rooms/1381226936870059313,airbnb,True,active,0,,False,,2,5,5,5,5,5,5
175,525864,F709 (Zona4),592964680,airbnb.com.br/rooms/1395058094917869787,airbnb,True,active,0,,False,,3,5,4.7,5,5,5,4.3
176,528890,AP801 (Zona1),592964680,airbnb.com.br/rooms/1396440098923989471,airbnb,True,active,0,,False,,1,5,4,5,5,4,5
177,530245,SP-P1909A (ZonaX),659754543,airbnb.com.br/rooms/1424773329029100364,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
178,530509,ASA101 (Zona2),592964680,airbnb.com.br/rooms/1421946823800962366,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
179,533095,SP-P1604A (ZonaX),659754543,airbnb.com.br/rooms/1410864796631391380,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
180,533098,SP-P1504A (ZonaX),659754543,airbnb.com.br/rooms/1410864792920379914,airbnb,True,active,0,,False,,2,4,5,5,5,5,3
181,533100,SP-P1609A (ZonaX),659754543,airbnb.com.br/rooms/1410844029001615257,airbnb,True,active,0,,False,,2,4.5,4,5,4.5,4,3.5
182,533295,SP-P1610A (ZonaX),659754543,airbnb.com.br/rooms/1414445383545008811,airbnb,True,active,0,,False,,2,5,5,5,5,5,5
183,533298,SP-P1611A (ZonaX),659754543,airbnb.com.br/rooms/1414435751888416813,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
184,533300,SP-P2308B (ZonaX),659754543,airbnb.com.br/rooms/1410248701417263067,airbnb,True,active,0,,False,,4,3.5,3.8,4.8,4.3,2.8,3.8
185,534228,D405 (Zona4),592964680,airbnb.com.br/rooms/1410109446138412423,airbnb,True,active,0,,False,,1,5,5,5,5,5,5
186,535079,AC1007 (Zona1),592964680,airbnb.com.br/rooms/1415985285507469082,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
187,539116,SP-P1208B (ZonaX),659754543,airbnb.com.br/rooms/1424778907268773890,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
188,539141,SP-P2402B (ZonaX),659754543,airbnb.com.br/rooms/1425483037289369037,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
189,548041,SP-P1607A (ZonaX),659754543,airbnb.com.br/rooms/1425470342730784142,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190,548401,CR-PI-CNJ-Q13/Q16,665278507,airbnb.com.br/rooms/1412408881117315971,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
191,549512,GS1102 (Zona4),592964680,airbnb.com.br/rooms/1421075340794016659,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
